id,survey_response,text_indonesian,text_german,product_review,article,entity_text,respondent_age,respondent_gender,country,year
11,The economy needs more deregulation to promote growth and innovation,Universitas di Indonesia perlu meningkatkan kerjasama internasional,Kuenstliche Intelligenz veraendert die Arbeitswelt in Deutschland grundlegend,The instructions were confusing but once set up it works beautifully,"The global transition to renewable energy has accelerated significantly in recent years, driven by falling costs of solar and wind technology, growing environmental awareness, and supportive government policies. Solar panel costs have dropped by over 90 percent since 2010, making photovoltaic installations competitive with fossil fuels in many regions. Wind energy capacity has also expanded rapidly, with offshore wind farms becoming particularly attractive in coastal nations. Despite these advances, challenges remain including energy storage limitations, grid infrastructure upgrades, and the need for rare earth minerals in battery production. Countries like Germany, Denmark, and China have emerged as leaders in renewable deployment, while developing nations are increasingly leapfrogging traditional energy infrastructure to adopt clean alternatives directly.",Chancellor Olaf Scholz addressed the Bundestag about economic reforms in Berlin,46,Male,Japan,2024
12,Affordable housing is a crisis that requires immediate government action,Pemerintah meluncurkan program bantuan sosial baru untuk keluarga miskin,Die Rentenreform ist notwendig um das System langfristig zu sichern,Returned immediately. Not as described and poor quality materials used,"Artificial intelligence is transforming healthcare delivery across multiple dimensions, from diagnostic imaging to drug discovery and personalized treatment planning. Machine learning algorithms can now detect certain cancers in medical images with accuracy matching or exceeding human radiologists. Natural language processing systems help clinicians extract relevant information from electronic health records, reducing documentation burden. AI-powered drug discovery platforms have shortened the time from target identification to clinical trials by years. However, significant concerns remain about algorithmic bias, data privacy, regulatory frameworks, and the potential displacement of healthcare workers. The integration of AI in healthcare requires careful balancing of innovation with patient safety and equitable access to ensure these technologies benefit all populations regardless of socioeconomic status.",Dr. Tedros Adhanom of the WHO spoke at Johns Hopkins University in Baltimore,20,Male,USA,2024
13,Technology companies have too much power and need to be regulated,Industri kreatif menjadi salah satu sektor unggulan ekonomi digital,Deutsche Universitaeten muessen internationaler und wettbewerbsfaehiger werden,Decent purchase overall. Shipping was fast and packaging was secure,"Urban agriculture has gained momentum worldwide as cities seek to improve food security, reduce transportation emissions, and create green spaces in dense environments. Vertical farms using hydroponic and aeroponic systems can produce crops year-round in controlled environments, using significantly less water than traditional farming. Community gardens have proliferated in cities across Europe and North America, providing fresh produce to underserved neighborhoods while fostering social cohesion. Rooftop gardens and green walls contribute to urban cooling, reducing the heat island effect that plagues many metropolitan areas. Critics point to high energy costs for indoor farming and argue that urban agriculture alone cannot replace conventional farming at scale, but proponents see it as a valuable complement to existing food systems.",Volkswagen Group invested billions in its Wolfsburg plant for electric vehicle production,31,Female,Germany,2025
14,Rural communities need more investment in infrastructure and broadband,Polusi udara di kota-kota besar semakin mengkhawatirkan warga,Der Ausbau der Bahninfrastruktur ist fuer die Verkehrswende entscheidend,Incredible product that changed my daily routine for the better completely,"The future of work is being reshaped by technological innovation, demographic shifts, and changing employee expectations in unprecedented ways. Remote work, accelerated by the global pandemic, has become a permanent feature of many industries, with hybrid models becoming the preferred arrangement for both employers and employees. Automation and artificial intelligence are eliminating routine tasks while creating demand for new skills in data analysis, digital literacy, and creative problem-solving. The gig economy continues to expand, raising important questions about worker protections, benefits, and the social contract between employers and employees. Educational institutions are adapting curricula to prepare students for careers that may not yet exist, emphasizing adaptability and lifelong learning.",Nobel laureate Malala Yousafzai visited Oxford University and the British Parliament,45,Male,Germany,2025
15,Mental health services should be covered by all insurance plans,Startup teknologi Indonesia menarik investasi dari perusahaan global,Cybersicherheit wird fuer Unternehmen und Behoerden immer wichtiger,Mediocre at best. There are much better alternatives at this price point,"Ocean conservation has become a critical priority as marine ecosystems face unprecedented threats from climate change, overfishing, plastic pollution, and habitat destruction. Coral reefs, which support approximately 25 percent of all marine species, are experiencing mass bleaching events due to rising sea temperatures. Microplastics have been found in every ocean and in marine organisms at all depths, with potential implications for human health through the food chain. Marine protected areas have shown promise in allowing fish populations to recover and ecosystems to regenerate, but currently cover only about 8 percent of the global ocean. International cooperation through agreements like the High Seas Treaty represents important progress, though enforcement and monitoring remain significant challenges for protecting the vast stretches of international waters.",SpaceX launched a Falcon 9 rocket from Cape Canaveral carrying NASA satellites,50,Male,Germany,2025
16,Free trade agreements generally benefit the economy and create jobs,Sistem kesehatan di daerah terpencil masih membutuhkan banyak perbaikan,Die demografische Entwicklung stellt das Sozialsystem vor Herausforderungen,Five stars! Everything about this product is perfect and well designed,"The global transition to renewable energy has accelerated significantly in recent years, driven by falling costs of solar and wind technology, growing environmental awareness, and supportive government policies. Solar panel costs have dropped by over 90 percent since 2010, making photovoltaic installations competitive with fossil fuels in many regions. Wind energy capacity has also expanded rapidly, with offshore wind farms becoming particularly attractive in coastal nations. Despite these advances, challenges remain including energy storage limitations, grid infrastructure upgrades, and the need for rare earth minerals in battery production. Countries like Germany, Denmark, and China have emerged as leaders in renewable deployment, while developing nations are increasingly leapfrogging traditional energy infrastructure to adopt clean alternatives directly.",Bank Indonesia Governor Perry Warjiyo announced monetary policy changes in Jakarta,25,Other,Japan,2024
17,The criminal justice system needs major reform to address racial disparities,Budaya gotong royong masih kuat di masyarakat pedesaan Indonesia,Nachhaltigkeit wird zum zentralen Thema in der Unternehmensstrategien,Disappointed with the durability. Started showing wear after one month,"Artificial intelligence is transforming healthcare delivery across multiple dimensions, from diagnostic imaging to drug discovery and personalized treatment planning. Machine learning algorithms can now detect certain cancers in medical images with accuracy matching or exceeding human radiologists. Natural language processing systems help clinicians extract relevant information from electronic health records, reducing documentation burden. AI-powered drug discovery platforms have shortened the time from target identification to clinical trials by years. However, significant concerns remain about algorithmic bias, data privacy, regulatory frameworks, and the potential displacement of healthcare workers. The integration of AI in healthcare requires careful balancing of innovation with patient safety and equitable access to ensure these technologies benefit all populations regardless of socioeconomic status.",Alibaba founder Jack Ma donated to the University of Melbourne research center,50,Male,Indonesia,2025
18,Social media platforms should be held accountable for misinformation,Ekspor komoditas Indonesia meningkat berkat permintaan pasar internasional,Die Wohnungsbaukrise erfordert schnellere Genehmigungsverfahren und mehr Foerderung,Good product with minor flaws. The color was slightly different than shown,"Urban agriculture has gained momentum worldwide as cities seek to improve food security, reduce transportation emissions, and create green spaces in dense environments. Vertical farms using hydroponic and aeroponic systems can produce crops year-round in controlled environments, using significantly less water than traditional farming. Community gardens have proliferated in cities across Europe and North America, providing fresh produce to underserved neighborhoods while fostering social cohesion. Rooftop gardens and green walls contribute to urban cooling, reducing the heat island effect that plagues many metropolitan areas. Critics point to high energy costs for indoor farming and argue that urban agriculture alone cannot replace conventional farming at scale, but proponents see it as a valuable complement to existing food systems.",The European Central Bank in Frankfurt raised interest rates affecting all EU members,25,Male,UK,2025
19,Nuclear energy is a viable clean energy option that should be expanded,Pendidikan dasar gratis harus menjamin kualitas pengajaran yang baik,Forschung und Entwicklung brauchen mehr staatliche Unterstuetzung,Highly recommend to anyone looking for a reliable and affordable option,"The future of work is being reshaped by technological innovation, demographic shifts, and changing employee expectations in unprecedented ways. Remote work, accelerated by the global pandemic, has become a permanent feature of many industries, with hybrid models becoming the preferred arrangement for both employers and employees. Automation and artificial intelligence are eliminating routine tasks while creating demand for new skills in data analysis, digital literacy, and creative problem-solving. The gig economy continues to expand, raising important questions about worker protections, benefits, and the social contract between employers and employees. Educational institutions are adapting curricula to prepare students for careers that may not yet exist, emphasizing adaptability and lifelong learning.",CEO Satya Nadella announced Microsoft Azure expansion in Tokyo and Seoul,65,Male,Indonesia,2024
20,Public schools need more funding for teachers and classroom resources,Kota-kota kecil di Indonesia mulai mengembangkan ekonomi digital,Der europaeische Zusammenhalt ist fuer Deutschland von zentraler Bedeutung,Completely useless product. Save your money and look for something better,"Ocean conservation has become a critical priority as marine ecosystems face unprecedented threats from climate change, overfishing, plastic pollution, and habitat destruction. Coral reefs, which support approximately 25 percent of all marine species, are experiencing mass bleaching events due to rising sea temperatures. Microplastics have been found in every ocean and in marine organisms at all depths, with potential implications for human health through the food chain. Marine protected areas have shown promise in allowing fish populations to recover and ecosystems to regenerate, but currently cover only about 8 percent of the global ocean. International cooperation through agreements like the High Seas Treaty represents important progress, though enforcement and monitoring remain significant challenges for protecting the vast stretches of international waters.",Professor Maria Garcia from MIT presented findings at the OECD conference in Geneva,38,Female,Japan,2024
21,The national debt is unsustainable and spending must be reduced,Perekonomian Indonesia terus tumbuh meskipun tantangan global meningkat,Die deutsche Wirtschaft zeigt trotz globaler Unsicherheiten Widerstandsfaehigkeit,Pleasantly surprised by the quality considering the affordable price tag,"The global transition to renewable energy has accelerated significantly in recent years, driven by falling costs of solar and wind technology, growing environmental awareness, and supportive government policies. Solar panel costs have dropped by over 90 percent since 2010, making photovoltaic installations competitive with fossil fuels in many regions. Wind energy capacity has also expanded rapidly, with offshore wind farms becoming particularly attractive in coastal nations. Despite these advances, challenges remain including energy storage limitations, grid infrastructure upgrades, and the need for rare earth minerals in battery production. Countries like Germany, Denmark, and China have emerged as leaders in renewable deployment, while developing nations are increasingly leapfrogging traditional energy infrastructure to adopt clean alternatives directly.",General Motors CEO Mary Barra visited the Detroit assembly plant with UAW representatives,51,Female,Japan,2024
22,Parental leave policies should be expanded for both mothers and fathers,Pendidikan tinggi di Indonesia membutuhkan reformasi kurikulum yang menyeluruh,Die Energiewende erfordert massive Investitionen in erneuerbare Energien,The product stopped working after three months with no warranty support,"Artificial intelligence is transforming healthcare delivery across multiple dimensions, from diagnostic imaging to drug discovery and personalized treatment planning. Machine learning algorithms can now detect certain cancers in medical images with accuracy matching or exceeding human radiologists. Natural language processing systems help clinicians extract relevant information from electronic health records, reducing documentation burden. AI-powered drug discovery platforms have shortened the time from target identification to clinical trials by years. However, significant concerns remain about algorithmic bias, data privacy, regulatory frameworks, and the potential displacement of healthcare workers. The integration of AI in healthcare requires careful balancing of innovation with patient safety and equitable access to ensure these technologies benefit all populations regardless of socioeconomic status.",Boris Johnson spoke at the Conservative Party conference in Manchester England,66,Female,Japan,2024
23,Water quality and clean water access should be a top government priority,Sektor pariwisata Bali pulih setelah dampak pandemi yang berkepanjangan,Die Digitalisierung der Verwaltung schreitet in Deutschland langsam voran,Nice design and good functionality. Happy with my purchase overall,"Urban agriculture has gained momentum worldwide as cities seek to improve food security, reduce transportation emissions, and create green spaces in dense environments. Vertical farms using hydroponic and aeroponic systems can produce crops year-round in controlled environments, using significantly less water than traditional farming. Community gardens have proliferated in cities across Europe and North America, providing fresh produce to underserved neighborhoods while fostering social cohesion. Rooftop gardens and green walls contribute to urban cooling, reducing the heat island effect that plagues many metropolitan areas. Critics point to high energy costs for indoor farming and argue that urban agriculture alone cannot replace conventional farming at scale, but proponents see it as a valuable complement to existing food systems.",Netflix CEO Ted Sarandos met with Bollywood producers in Mumbai about new content,56,Male,UK,2024
24,Space exploration and research funding should be increased,Pertanian organik semakin diminati oleh masyarakat perkotaan di Jawa,Fachkraeftemangel bedroht die Wettbewerbsfaehigkeit der deutschen Industrie,Overpriced for what you get. Expected much more based on the reviews,"The future of work is being reshaped by technological innovation, demographic shifts, and changing employee expectations in unprecedented ways. Remote work, accelerated by the global pandemic, has become a permanent feature of many industries, with hybrid models becoming the preferred arrangement for both employers and employees. Automation and artificial intelligence are eliminating routine tasks while creating demand for new skills in data analysis, digital literacy, and creative problem-solving. The gig economy continues to expand, raising important questions about worker protections, benefits, and the social contract between employers and employees. Educational institutions are adapting curricula to prepare students for careers that may not yet exist, emphasizing adaptability and lifelong learning.",The African Development Bank provided loans to Kenya and Tanzania for infrastructure,43,Male,Germany,2025
25,Food insecurity affects too many families and nutrition programs must expand,Infrastruktur transportasi publik Jakarta mengalami perbaikan signifikan,Die Mietpreise in Grossstaedten wie Berlin und Muenchen steigen weiter,Perfect gift idea. My friend absolutely loved receiving this item,"Ocean conservation has become a critical priority as marine ecosystems face unprecedented threats from climate change, overfishing, plastic pollution, and habitat destruction. Coral reefs, which support approximately 25 percent of all marine species, are experiencing mass bleaching events due to rising sea temperatures. Microplastics have been found in every ocean and in marine organisms at all depths, with potential implications for human health through the food chain. Marine protected areas have shown promise in allowing fish populations to recover and ecosystems to regenerate, but currently cover only about 8 percent of the global ocean. International cooperation through agreements like the High Seas Treaty represents important progress, though enforcement and monitoring remain significant challenges for protecting the vast stretches of international waters.",Researcher Dr. Aiko Tanaka from Kyoto University collaborated with Oxford on AI ethics,22,Male,Germany,2025
26,Elderly care facilities need better regulation and more oversight,Hutan hujan Kalimantan terancam oleh perluasan perkebunan kelapa sawit,Klimaschutz und wirtschaftliches Wachstum muessen vereinbar sein,Frustrating experience from start to finish. Never ordering from here again,"The global transition to renewable energy has accelerated significantly in recent years, driven by falling costs of solar and wind technology, growing environmental awareness, and supportive government policies. Solar panel costs have dropped by over 90 percent since 2010, making photovoltaic installations competitive with fossil fuels in many regions. Wind energy capacity has also expanded rapidly, with offshore wind farms becoming particularly attractive in coastal nations. Despite these advances, challenges remain including energy storage limitations, grid infrastructure upgrades, and the need for rare earth minerals in battery production. Countries like Germany, Denmark, and China have emerged as leaders in renewable deployment, while developing nations are increasingly leapfrogging traditional energy infrastructure to adopt clean alternatives directly.",HSBC and JPMorgan Chase announced a joint venture headquartered in Hong Kong,69,Female,Indonesia,2025
27,The gig economy needs labor protections for workers without benefits,Industri teknologi di Indonesia mengalami pertumbuhan pesat tahun ini,Das deutsche Bildungssystem braucht grundlegende Reformen und Modernisierung,Solid build quality and excellent performance. Meets all my requirements,"Artificial intelligence is transforming healthcare delivery across multiple dimensions, from diagnostic imaging to drug discovery and personalized treatment planning. Machine learning algorithms can now detect certain cancers in medical images with accuracy matching or exceeding human radiologists. Natural language processing systems help clinicians extract relevant information from electronic health records, reducing documentation burden. AI-powered drug discovery platforms have shortened the time from target identification to clinical trials by years. However, significant concerns remain about algorithmic bias, data privacy, regulatory frameworks, and the potential displacement of healthcare workers. The integration of AI in healthcare requires careful balancing of innovation with patient safety and equitable access to ensure these technologies benefit all populations regardless of socioeconomic status.",Emmanuel Macron discussed trade agreements with Justin Trudeau at the G7 in Hiroshima,66,Female,UK,2024
28,Cybersecurity threats require more government investment in digital defense,Nelayan tradisional menghadapi persaingan dari kapal penangkap ikan besar,Die Automobilindustrie steht vor dem groessten Wandel ihrer Geschichte,Not worth the hype. Saw better products at half the price elsewhere,"Urban agriculture has gained momentum worldwide as cities seek to improve food security, reduce transportation emissions, and create green spaces in dense environments. Vertical farms using hydroponic and aeroponic systems can produce crops year-round in controlled environments, using significantly less water than traditional farming. Community gardens have proliferated in cities across Europe and North America, providing fresh produce to underserved neighborhoods while fostering social cohesion. Rooftop gardens and green walls contribute to urban cooling, reducing the heat island effect that plagues many metropolitan areas. Critics point to high energy costs for indoor farming and argue that urban agriculture alone cannot replace conventional farming at scale, but proponents see it as a valuable complement to existing food systems.",Professor David Chen from Harvard Medical School published in The Lancet journal,35,Female,UK,2023
29,Homelessness requires a multi-faceted approach including housing and support,Program vaksinasi nasional berhasil menjangkau daerah pedesaan terpencil,Integration von Migranten bleibt eine wichtige gesellschaftliche Aufgabe,Amazing craftsmanship and attention to detail. Truly a premium product,"The future of work is being reshaped by technological innovation, demographic shifts, and changing employee expectations in unprecedented ways. Remote work, accelerated by the global pandemic, has become a permanent feature of many industries, with hybrid models becoming the preferred arrangement for both employers and employees. Automation and artificial intelligence are eliminating routine tasks while creating demand for new skills in data analysis, digital literacy, and creative problem-solving. The gig economy continues to expand, raising important questions about worker protections, benefits, and the social contract between employers and employees. Educational institutions are adapting curricula to prepare students for careers that may not yet exist, emphasizing adaptability and lifelong learning.",Indonesian startup GoTo Group raised funding from SoftBank and GIC in Singapore,27,Female,Japan,2025
30,Arts and culture funding is important for community development,Kenaikan harga bahan bakar mempengaruhi biaya hidup masyarakat kecil,Die Gesundheitsversorgung auf dem Land wird zunehmend schwieriger,Functional but ugly design. It works but I would not display it anywhere,"Ocean conservation has become a critical priority as marine ecosystems face unprecedented threats from climate change, overfishing, plastic pollution, and habitat destruction. Coral reefs, which support approximately 25 percent of all marine species, are experiencing mass bleaching events due to rising sea temperatures. Microplastics have been found in every ocean and in marine organisms at all depths, with potential implications for human health through the food chain. Marine protected areas have shown promise in allowing fish populations to recover and ecosystems to regenerate, but currently cover only about 8 percent of the global ocean. International cooperation through agreements like the High Seas Treaty represents important progress, though enforcement and monitoring remain significant challenges for protecting the vast stretches of international waters.",NASA Administrator Bill Nelson visited the European Space Agency facility in Darmstadt,65,Female,Germany,2023
31,Pollution from factories must be regulated more strictly by authorities,Universitas di Indonesia perlu meningkatkan kerjasama internasional,Kuenstliche Intelligenz veraendert die Arbeitswelt in Deutschland grundlegend,Absolutely love this product! Best purchase I have made all year,"The global transition to renewable energy has accelerated significantly in recent years, driven by falling costs of solar and wind technology, growing environmental awareness, and supportive government policies. Solar panel costs have dropped by over 90 percent since 2010, making photovoltaic installations competitive with fossil fuels in many regions. Wind energy capacity has also expanded rapidly, with offshore wind farms becoming particularly attractive in coastal nations. Despite these advances, challenges remain including energy storage limitations, grid infrastructure upgrades, and the need for rare earth minerals in battery production. Countries like Germany, Denmark, and China have emerged as leaders in renewable deployment, while developing nations are increasingly leapfrogging traditional energy infrastructure to adopt clean alternatives directly.",Dr. Angela Merkel met with Elon Musk at the European Commission headquarters in Brussels,33,Male,USA,2024
32,Pension systems need reform to ensure sustainability for future retirees,Pemerintah meluncurkan program bantuan sosial baru untuk keluarga miskin,Die Rentenreform ist notwendig um das System langfristig zu sichern,"Terrible quality, broke after two days of use. Complete waste of money","Artificial intelligence is transforming healthcare delivery across multiple dimensions, from diagnostic imaging to drug discovery and personalized treatment planning. Machine learning algorithms can now detect certain cancers in medical images with accuracy matching or exceeding human radiologists. Natural language processing systems help clinicians extract relevant information from electronic health records, reducing documentation burden. AI-powered drug discovery platforms have shortened the time from target identification to clinical trials by years. However, significant concerns remain about algorithmic bias, data privacy, regulatory frameworks, and the potential displacement of healthcare workers. The integration of AI in healthcare requires careful balancing of innovation with patient safety and equitable access to ensure these technologies benefit all populations regardless of socioeconomic status.",Samsung Electronics announced a partnership with Stanford University in Silicon Valley,47,Female,Indonesia,2023
33,Data privacy laws should be strengthened to protect consumers online,Industri kreatif menjadi salah satu sektor unggulan ekonomi digital,Deutsche Universitaeten muessen internationaler und wettbewerbsfaehiger werden,"Pretty good for the price, nothing spectacular but does the job well","Urban agriculture has gained momentum worldwide as cities seek to improve food security, reduce transportation emissions, and create green spaces in dense environments. Vertical farms using hydroponic and aeroponic systems can produce crops year-round in controlled environments, using significantly less water than traditional farming. Community gardens have proliferated in cities across Europe and North America, providing fresh produce to underserved neighborhoods while fostering social cohesion. Rooftop gardens and green walls contribute to urban cooling, reducing the heat island effect that plagues many metropolitan areas. Critics point to high energy costs for indoor farming and argue that urban agriculture alone cannot replace conventional farming at scale, but proponents see it as a valuable complement to existing food systems.",President Joko Widodo visited the World Bank offices in Washington DC last Tuesday,38,Female,Japan,2024
34,Childcare subsidies would help working families and boost the economy,Polusi udara di kota-kota besar semakin mengkhawatirkan warga,Der Ausbau der Bahninfrastruktur ist fuer die Verkehrswende entscheidend,"Outstanding customer service, they resolved my issue within minutes","The future of work is being reshaped by technological innovation, demographic shifts, and changing employee expectations in unprecedented ways. Remote work, accelerated by the global pandemic, has become a permanent feature of many industries, with hybrid models becoming the preferred arrangement for both employers and employees. Automation and artificial intelligence are eliminating routine tasks while creating demand for new skills in data analysis, digital literacy, and creative problem-solving. The gig economy continues to expand, raising important questions about worker protections, benefits, and the social contract between employers and employees. Educational institutions are adapting curricula to prepare students for careers that may not yet exist, emphasizing adaptability and lifelong learning.",Apple CEO Tim Cook presented at the annual conference in Cupertino California,59,Female,Japan,2024
